RT @SantoshRanjan_: काग़ज़ नहीं दिखाएंगे .... !कोरोना का टेस्ट भी नहीं कराएंगे .... !!#IslamicCoronaJehad,-1,काग़ज़ दिखाएंगे कोरोना टेस्ट कराएंगे IslamicCoronaJehad,काग़ज़ दिखाएंगे कोरोना टेस्ट कराएंगे IslamicCoronaJehad,INFORMATIVE
RT @Pnkaj_Gujju_: मुम्बई के डोंगरी में रास्ते पर नमाज़ पढ़कर कोरोना को भगाते देश के संसाधनों पर पहला हक़ रखने वाले विशेष प्रजाति के लोग #को…,-1,मुम्बई डोंगरी रास्ते नमाज़ पढ़कर कोरोना भगाते देश संसाधनों पहला हक़ रखने विशेष प्रजाति लोग,मुम्बई डोंगरी रास्ते नमाज़ पढ़कर कोरोना भगाते देश संसाधनों पहला हक़ रखने विशेष प्रजाति लोग,INFORMATIVE
"RT @DeoRampur: #कोरोना_को_हराना_हैलॉक डाउन क्यों ज़रूरी है?केजीएमयू, लखनऊ की #COVID19 टीम में शामिल रामपुर निवासी डॉक्टर फरहान से कोरोना…",0,कोरोना हराना हैलॉक डाउन क्यों ज़रूरी केजीएमयू लखनऊ COVID टीम शामिल रामपुर निवासी डॉक्टर फरहान कोरोना,कोरोना हराना हैलॉक डाउन क्यों ज़रूरी केजीएमयू लखनऊ COVID टीम शामिल रामपुर निवासी डॉक्टर फरहान कोरोना,INFORMATIVE
@GauriJalpa ये सब समझते है समझ कर ही सब काम कीया है कोरोना वायरस जैविक बम से हमला है देश में कटटरपंनथीयों ने युद्ध… https://t.co/EuigKv7VTT,-1,सब समझते समझ सब काम कीया कोरोना वायरस जैविक बम हमला देश कटटरपंनथीयों युद्ध,सब समझते समझ सब काम कीया कोरोना वायरस जैविक बम हमला देश कटटरपंनथीयों युद्ध,INFORMATIVE
RT @JansamparkMP: कोरोना वायरस को युद्ध से बड़ा संकट मानकर पूरी क्षमता से मुकाबला करें राज्य - @PMOIndia ---मुख्यमंत्री श्री @ChouhanShiv…,1,कोरोना वायरस युद्ध बड़ा संकट मानकर पूरी क्षमता मुकाबला राज्य मुख्यमंत्री श्री,कोरोना वायरस युद्ध बड़ा संकट मानकर पूरी क्षमता मुकाबला राज्य मुख्यमंत्री श्री,INFORMATIVE
"RT @BJP4India: “5 अप्रेल को मोदी जी ने 9 बजे 9 मिनट तक दीपक जलाने का संदेश दिया है। जब तक दीपक जलाएं, हम परमात्मा का सिमरन भी करें ताकि बाह…",0,“ अप्रेल मोदी जी बजे मिनट दीपक जलाने संदेश दीपक जलाएं हम परमात्मा सिमरन ताकि बाह,“ अप्रेल मोदी जी बजे मिनट दीपक जलाने संदेश दीपक जलाएं हम परमात्मा सिमरन ताकि बाह,INFORMATIVE
RT @miss_Sangita_: मेरठ में मिलें कोरोना संदिग्ध को  मस्जिद में ही रखा गया  योगी जी का अलग ही सिस्टम हैं जहां बम   मिलें…,-1,मेरठ मिलें कोरोना संदिग्ध मस्जिद रखा योगी जी अलग सिस्टम जहां बम मिलें,मेरठ मिलें कोरोना संदिग्ध मस्जिद रखा योगी जी अलग सिस्टम जहां बम मिलें,UNINFORMATIVE
@RoflKamra @ppbajpai कोरोना का बर्थडे हो ना हो दिया जले ना जले तेरा पिछवाडा तो पहेलेसे ही जलने लगा है..,-1,कोरोना बर्थडे जले जले तेरा पिछवाडा पहेलेसे जलने लगा,कोरोना बर्थडे जले जले तेरा पिछवाडा पहेलेसे जलने लगा,UNINFORMATIVE
RT @ArtofLivingABC: देखिए गुरुदेव @SriSri रविशंकर जी को @SudarshanTVnews के कार्यक्रम “कोरोना से हिंदुस्तान की लड़ाई” पर। आज शाम 8 बजे ।…,1,देखिए गुरुदेव रविशंकर जी कार्यक्रम “कोरोना हिंदुस्तान लड़ाई” आज शाम बजे,देखिए गुरुदेव रविशंकर जी कार्यक्रम “कोरोना हिंदुस्तान लड़ाई” आज शाम बजे,INFORMATIVE
RT @RitaBJoshi: कोरोना के इस संकटकाल में प्रयागराज  जिलाधिकारी के साथ इलाहाबाद संसदीय क्षेत्र की समस्याओं पर बैठक कर चर्चा करते हुए. https:…,1,कोरोना संकटकाल प्रयागराज जिलाधिकारी इलाहाबाद संसदीय क्षेत्र समस्याओं बैठक चर्चा https,कोरोना संकटकाल प्रयागराज जिलाधिकारी इलाहाबाद संसदीय क्षेत्र समस्याओं बैठक चर्चा https,INFORMATIVE
"RT @ArnabSpeaks25: खाज हूँ , खुजली हूँ , दाद हूँ , कोरोना के कोढ़ से बहता हुआ मवाद हूँ , हाँ मैं ही कुदरती कौम का ज़ाहिल मौलाना साद हूँ ।…",-1,खाज हूँ खुजली हूँ दाद हूँ कोरोना कोढ़ बहता मवाद हूँ हाँ मैं कुदरती कौम ज़ाहिल मौलाना साद हूँ,खाज हूँ खुजली हूँ दाद हूँ कोरोना कोढ़ बहता मवाद हूँ हाँ मैं कुदरती कौम ज़ाहिल मौलाना साद हूँ,UNINFORMATIVE
RT @ziddiayesha: @BabitaPhogat हाँ तो समझाओ ना अपनी बिरादरी को...ऐसे कोरोना ना फैलाये!,0,हाँ समझाओ बिरादरी कोरोना फैलाये,हाँ समझाओ बिरादरी कोरोना फैलाये,UNINFORMATIVE
@RealPushpendra @SURESHS89717188 कोरोना वायरस के खिलाफ लड़ने वाले #आरक्षण_वायरस के खिलाफ कब लड़ोगे,0,कोरोना वायरस खिलाफ लड़ने आरक्षण वायरस खिलाफ कब लड़ोगे,कोरोना वायरस खिलाफ लड़ने आरक्षण वायरस खिलाफ कब लड़ोगे,UNINFORMATIVE
कोरोना वायरस के संक्रमण की रोकथाम के प्रबंधन में छत्तीसगढ़ टाॅप-10 में,1,कोरोना वायरस संक्रमण रोकथाम प्रबंधन छत्तीसगढ़ टाॅप,कोरोना वायरस संक्रमण रोकथाम प्रबंधन छत्तीसगढ़ टाॅप,INFORMATIVE
